PROFIL,R51 Breite,R52 Stärke,R60,R61,R20,R40,R41,,,
PR_001,3,0.8,0.00,3.57, ,0.40,0.23,,,
PR_001,3,0.9,0.00,3.22, ,0.40,0.31,,,
PR_001,3,1.0,0.00,2.93, ,0.40,0.39,,,
PR_001,3,1.1,0.00,2.71, ,0.40,0.47,,,
PR_001,3,1.2,0.00,2.52, ,0.40,0.55,,,
PR_001,3,1.3,0.00,2.37, ,0.40,0.63,,,
PR_001,3,1.4,0.00,2.24, ,0.40,0.71,,,
PR_001,3,1.5,0.00,2.13, ,0.40,0.79,,,
PR_001,3,1.6,0.00,2.03, ,0.40,0.87,,,
PR_001,3,1.7,0.00,1.95, ,0.40,0.95,,,
PR_001,3,1.8,0.00,1.89, ,0.40,1.03,,,
PR_001,3,1.9,0.00,1.83, ,0.40,1.11,,,
PR_001,3,2.0,0.00,1.78, ,0.40,1.19,,,
PR_001,3,2.1,0.00,1.73, ,0.40,1.27,,,
PR_001,3,2.2,0.00,1.69, ,0.40,1.35,,,
PR_001,3,2.3,0.00,1.66, ,0.40,1.43,,,
PR_001,3,2.4,0.00,1.63, ,0.40,1.50,,,
PR_001,3,2.5,0.00,1.61, ,0.40,1.58,,,
PR_001,3,2.6,0.00,1.59, ,0.40,1.66,,,
PR_001,3,2.7,0.00,1.57, ,0.40,1.74,,,
PR_001,3,2.8,0.00,1.55, ,0.40,1.82,,,
PR_001,3,2.9,0.00,1.54, ,0.40,1.90,,,
PR_001,3,3.0,0.00,1.53, ,0.40,1.98,,,
PR_001,3,3.1,0.00,1.52, ,0.40,2.06,,,
PR_001,3.5,0.8,0.00,4.80, ,0.40,0.23,,,
PR_001,3.5,0.9,0.00,4.31, ,0.40,0.31,,,
PR_001,3.5,1.0,0.00,3.92, ,0.40,0.39,,,
PR_001,3.5,1.1,0.00,3.60, ,0.40,0.47,,,
PR_001,3.5,1.2,0.00,3.34, ,0.40,0.55,,,
PR_001,3.5,1.3,0.00,3.12, ,0.40,0.63,,,
PR_001,3.5,1.4,0.00,2.94, ,0.40,0.71,,,
PR_001,3.5,1.5,0.00,2.78, ,0.40,0.79,,,
PR_001,3.5,1.6,0.00,2.65, ,0.40,0.87,,,
PR_001,3.5,1.7,0.00,2.53, ,0.40,0.95,,,
PR_001,3.5,1.8,0.00,2.43, ,0.40,1.03,,,
PR_001,3.5,1.9,0.00,2.35, ,0.40,1.11,,,
PR_001,3.5,2.0,0.00,2.27, ,0.40,1.19,,,
PR_001,3.5,2.1,0.00,2.20, ,0.40,1.27,,,
PR_001,3.5,2.2,0.00,2.14, ,0.40,1.35,,,
PR_001,3.5,2.3,0.00,2.09, ,0.40,1.43,,,
PR_001,3.5,2.4,0.00,2.04, ,0.40,1.50,,,
PR_001,3.5,2.5,0.00,2.00, ,0.40,1.58,,,
PR_001,3.5,2.6,0.00,1.96, ,0.40,1.66,,,
PR_001,3.5,2.7,0.00,1.93, ,0.40,1.74,,,
PR_001,3.5,2.8,0.00,1.90, ,0.40,1.82,,,
PR_001,3.5,2.9,0.00,1.88, ,0.40,1.90,,,
PR_001,3.5,3.0,0.00,1.86, ,0.40,1.98,,,
PR_001,3.5,3.1,0.00,1.84, ,0.40,2.06,,,
PR_001,4,0.8,0.00,6.22, ,0.40,0.23,,,
PR_001,4,0.9,0.00,5.57, ,0.45,0.26,,,
PR_001,4,1.0,0.00,5.05, ,0.50,0.29,,,
PR_001,4,1.1,0.00,4.63, ,0.50,0.37,,,
PR_001,4,1.2,0.00,4.29, ,0.50,0.45,,,
PR_001,4,1.3,0.00,4.00, ,0.50,0.53,,,
PR_001,4,1.4,0.00,3.75, ,0.50,0.61,,,
PR_001,4,1.5,0.00,3.54, ,0.50,0.69,,,
PR_001,4,1.6,0.00,3.36, ,0.50,0.77,,,
PR_001,4,1.7,0.00,3.20, ,0.50,0.85,,,
PR_001,4,1.8,0.00,3.06, ,0.50,0.93,,,
PR_001,4,1.9,0.00,2.94, ,0.50,1.01,,,
PR_001,4,2.0,0.00,2.84, ,0.50,1.09,,,
PR_001,4,2.1,0.00,2.74, ,0.50,1.17,,,
PR_001,4,2.2,0.00,2.66, ,0.50,1.25,,,
PR_001,4,2.3,0.00,2.58, ,0.50,1.33,,,
PR_001,4,2.4,0.00,2.52, ,0.50,1.40,,,
PR_001,4,2.5,0.00,2.45, ,0.50,1.48,,,
PR_001,4,2.6,0.00,2.40, ,0.50,1.56,,,
PR_001,4,2.7,0.00,2.35, ,0.50,1.64,,,
PR_001,4,2.8,0.00,2.31, ,0.50,1.72,,,
PR_001,4,2.9,0.00,2.27, ,0.50,1.80,,,
PR_001,4,3.0,0.00,2.23, ,0.50,1.88,,,
PR_001,4,3.1,0.00,2.20, ,0.50,1.96,,,
PR_001,4.5,0.8,0.00,7.83, ,0.40,0.23,,,
PR_001,4.5,0.9,0.00,7.00, ,0.45,0.26,,,
PR_001,4.5,1.0,0.00,6.34, ,0.50,0.29,,,
PR_001,4.5,1.1,0.00,5.80, ,0.50,0.37,,,
PR_001,4.5,1.2,0.00,5.36, ,0.50,0.45,,,
PR_001,4.5,1.3,0.00,4.99, ,0.50,0.53,,,
PR_001,4.5,1.4,0.00,4.67, ,0.50,0.61,,,
PR_001,4.5,1.5,0.00,4.40, ,0.50,0.69,,,
PR_001,4.5,1.6,0.00,4.16, ,0.50,0.77,,,
PR_001,4.5,1.7,0.00,3.96, ,0.50,0.85,,,
PR_001,4.5,1.8,0.00,3.78, ,0.50,0.93,,,
PR_001,4.5,1.9,0.00,3.62, ,0.50,1.01,,,
PR_001,4.5,2.0,0.00,3.48, ,0.50,1.09,,,
PR_001,4.5,2.1,0.00,3.35, ,0.50,1.17,,,
PR_001,4.5,2.2,0.00,3.24, ,0.50,1.25,,,
PR_001,4.5,2.3,0.00,3.14, ,0.50,1.33,,,
PR_001,4.5,2.4,0.00,3.05, ,0.50,1.40,,,
PR_001,4.5,2.5,0.00,2.97, ,0.50,1.48,,,
PR_001,4.5,2.6,0.00,2.90, ,0.50,1.56,,,
PR_001,4.5,2.7,0.00,2.83, ,0.50,1.64,,,
PR_001,4.5,2.8,0.00,2.77, ,0.50,1.72,,,
PR_001,4.5,2.9,0.00,2.71, ,0.50,1.80,,,
PR_001,4.5,3.0,0.00,2.66, ,0.50,1.88,,,
PR_001,4.5,3.1,0.00,2.62, ,0.50,1.96,,,
PR_001,5,0.8,0.00,9.63, ,0.40,0.23,,,
PR_001,5,0.9,0.00,8.60, ,0.45,0.26,,,
PR_001,5,1.0,0.00,7.78, ,0.50,0.29,,,
PR_001,5,1.1,0.00,7.11, ,0.55,0.32,,,
PR_001,5,1.2,0.00,6.56, ,0.60,0.35,,,
PR_001,5,1.3,0.00,6.10, ,0.60,0.43,,,
PR_001,5,1.4,0.00,5.70, ,0.60,0.51,,,
PR_001,5,1.5,0.00,5.36, ,0.60,0.59,,,
PR_001,5,1.6,0.00,5.06, ,0.60,0.67,,,
PR_001,5,1.7,0.00,4.81, ,0.60,0.75,,,
PR_001,5,1.8,0.00,4.58, ,0.60,0.83,,,
PR_001,5,1.9,0.00,4.38, ,0.60,0.91,,,
PR_001,5,2.0,0.00,4.20, ,0.60,0.99,,,
PR_001,5,2.1,0.00,4.04, ,0.60,1.07,,,
PR_001,5,2.2,0.00,3.90, ,0.60,1.15,,,
PR_001,5,2.3,0.00,3.77, ,0.60,1.23,,,
PR_001,5,2.4,0.00,3.65, ,0.60,1.30,,,
PR_001,5,2.5,0.00,3.55, ,0.60,1.38,,,
PR_001,5,2.6,0.00,3.45, ,0.60,1.46,,,
PR_001,5,2.7,0.00,3.36, ,0.60,1.54,,,
PR_001,5,2.8,0.00,3.28, ,0.60,1.62,,,
PR_001,5,2.9,0.00,3.21, ,0.60,1.70,,,
PR_001,5,3.0,0.00,3.14, ,0.60,1.78,,,
PR_001,5,3.1,0.00,3.08, ,0.60,1.86,,,
PR_001,5.5,0.8,0.00,11.62, ,0.40,0.23,,,
PR_001,5.5,0.9,0.00,10.37, ,0.45,0.26,,,
PR_001,5.5,1.0,0.00,9.37, ,0.50,0.29,,,
PR_001,5.5,1.1,0.00,8.56, ,0.55,0.32,,,
PR_001,5.5,1.2,0.00,7.89, ,0.60,0.35,,,
PR_001,5.5,1.3,0.00,7.32, ,0.60,0.43,,,
PR_001,5.5,1.4,0.00,6.84, ,0.60,0.51,,,
PR_001,5.5,1.5,0.00,6.42, ,0.60,0.59,,,
PR_001,5.5,1.6,0.00,6.06, ,0.60,0.67,,,
PR_001,5.5,1.7,0.00,5.74, ,0.60,0.75,,,
PR_001,5.5,1.8,0.00,5.46, ,0.60,0.83,,,
PR_001,5.5,1.9,0.00,5.22, ,0.60,0.91,,,
PR_001,5.5,2.0,0.00,5.00, ,0.60,0.99,,,
PR_001,5.5,2.1,0.00,4.80, ,0.60,1.07,,,
PR_001,5.5,2.2,0.00,4.62, ,0.60,1.15,,,
PR_001,5.5,2.3,0.00,4.46, ,0.60,1.23,,,
PR_001,5.5,2.4,0.00,4.31, ,0.60,1.30,,,
PR_001,5.5,2.5,0.00,4.18, ,0.60,1.38,,,
PR_001,5.5,2.6,0.00,4.06, ,0.60,1.46,,,
PR_001,5.5,2.7,0.00,3.95, ,0.60,1.54,,,
PR_001,5.5,2.8,0.00,3.85, ,0.60,1.62,,,
PR_001,5.5,2.9,0.00,3.76, ,0.60,1.70,,,
PR_001,5.5,3.0,0.00,3.67, ,0.60,1.78,,,
PR_001,5.5,3.1,0.00,3.60, ,0.60,1.86,,,
PR_001,6,0.8,0.00,13.80, ,0.40,0.23,,,
PR_001,6,0.9,0.00,12.31, ,0.45,0.26,,,
PR_001,6,1.0,0.00,11.11, ,0.50,0.29,,,
PR_001,6,1.1,0.00,10.14, ,0.55,0.32,,,
PR_001,6,1.2,0.00,9.34, ,0.60,0.35,,,
PR_001,6,1.3,0.00,8.66, ,0.65,0.38,,,
PR_001,6,1.4,0.00,8.08, ,0.70,0.41,,,
PR_001,6,1.5,0.00,7.58, ,0.70,0.49,,,
PR_001,6,1.6,0.00,7.15, ,0.70,0.57,,,
PR_001,6,1.7,0.00,6.77, ,0.70,0.65,,,
PR_001,6,1.8,0.00,6.43, ,0.70,0.73,,,
PR_001,6,1.9,0.00,6.13, ,0.70,0.81,,,
PR_001,6,2.0,0.00,5.87, ,0.70,0.89,,,
PR_001,6,2.1,0.00,5.63, ,0.70,0.97,,,
PR_001,6,2.2,0.00,5.41, ,0.70,1.05,,,
PR_001,6,2.3,0.00,5.22, ,0.70,1.13,,,
PR_001,6,2.4,0.00,5.04, ,0.70,1.20,,,
PR_001,6,2.5,0.00,4.88, ,0.70,1.28,,,
PR_001,6,2.6,0.00,4.73, ,0.70,1.36,,,
PR_001,6,2.7,0.00,4.60, ,0.70,1.44,,,
PR_001,6,2.8,0.00,4.47, ,0.70,1.52,,,
PR_001,6,2.9,0.00,4.36, ,0.70,1.60,,,
PR_001,6,3.0,0.00,4.25, ,0.70,1.68,,,
PR_001,6,3.1,0.00,4.16, ,0.70,1.76,,,
PR_001,6.5,0.8,0.00,16.17, ,0.40,0.23,,,
PR_001,6.5,0.9,0.00,14.41, ,0.45,0.26,,,
PR_001,6.5,1.0,0.00,13.01, ,0.50,0.29,,,
PR_001,6.5,1.1,0.00,11.86, ,0.55,0.32,,,
PR_001,6.5,1.2,0.00,10.92, ,0.60,0.35,,,
PR_001,6.5,1.3,0.00,10.12, ,0.65,0.38,,,
PR_001,6.5,1.4,0.00,9.43, ,0.70,0.41,,,
PR_001,6.5,1.5,0.00,8.84, ,0.70,0.49,,,
PR_001,6.5,1.6,0.00,8.33, ,0.70,0.57,,,
PR_001,6.5,1.7,0.00,7.88, ,0.70,0.65,,,
PR_001,6.5,1.8,0.00,7.48, ,0.70,0.73,,,
PR_001,6.5,1.9,0.00,7.13, ,0.70,0.81,,,
PR_001,6.5,2.0,0.00,6.81, ,0.70,0.89,,,
PR_001,6.5,2.1,0.00,6.53, ,0.70,0.97,,,
PR_001,6.5,2.2,0.00,6.27, ,0.70,1.05,,,
PR_001,6.5,2.3,0.00,6.04, ,0.70,1.13,,,
PR_001,6.5,2.4,0.00,5.83, ,0.70,1.20,,,
PR_001,6.5,2.5,0.00,5.64, ,0.70,1.28,,,
PR_001,6.5,2.6,0.00,5.46, ,0.70,1.36,,,
PR_001,6.5,2.7,0.00,5.30, ,0.70,1.44,,,
PR_001,6.5,2.8,0.00,5.15, ,0.70,1.52,,,
PR_001,6.5,2.9,0.00,5.01, ,0.70,1.60,,,
PR_001,6.5,3.0,0.00,4.89, ,0.70,1.68,,,
PR_001,6.5,3.1,0.00,4.77, ,0.70,1.76,,,
PR_001,7,0.8,0.00,18.72, ,0.40,0.23,,,
PR_001,7,0.9,0.00,16.68, ,0.45,0.26,,,
PR_001,7,1.0,0.00,15.05, ,0.50,0.29,,,
PR_001,7,1.1,0.00,13.72, ,0.55,0.32,,,
PR_001,7,1.2,0.00,12.62, ,0.60,0.35,,,
PR_001,7,1.3,0.00,11.69, ,0.65,0.38,,,
PR_001,7,1.4,0.00,10.89, ,0.70,0.41,,,
PR_001,7,1.5,0.00,10.21, ,0.75,0.44,,,
PR_001,7,1.6,0.00,9.61, ,0.80,0.47,,,
PR_001,7,1.7,0.00,9.08, ,0.80,0.55,,,
PR_001,7,1.8,0.00,8.62, ,0.80,0.63,,,
PR_001,7,1.9,0.00,8.21, ,0.80,0.71,,,
PR_001,7,2.0,0.00,7.84, ,0.80,0.79,,,
PR_001,7,2.1,0.00,7.50, ,0.80,0.87,,,
PR_001,7,2.2,0.00,7.20, ,0.80,0.95,,,
PR_001,7,2.3,0.00,6.93, ,0.80,1.03,,,
PR_001,7,2.4,0.00,6.68, ,0.80,1.10,,,
PR_001,7,2.5,0.00,6.45, ,0.80,1.18,,,
PR_001,7,2.6,0.00,6.25, ,0.80,1.26,,,
PR_001,7,2.7,0.00,6.06, ,0.80,1.34,,,
PR_001,7,2.8,0.00,5.88, ,0.80,1.42,,,
PR_001,7,2.9,0.00,5.72, ,0.80,1.50,,,
PR_001,7,3.0,0.00,5.57, ,0.80,1.58,,,
PR_001,7,3.1,0.00,5.43, ,0.80,1.66,,,
PR_001,7.5,0.8,0.00,21.47, ,0.40,0.23,,,
PR_001,7.5,0.9,0.00,19.12, ,0.45,0.26,,,
PR_001,7.5,1.0,0.00,17.25, ,0.50,0.29,,,
PR_001,7.5,1.1,0.00,15.72, ,0.55,0.32,,,
PR_001,7.5,1.2,0.00,14.45, ,0.60,0.35,,,
PR_001,7.5,1.3,0.00,13.38, ,0.65,0.38,,,
PR_001,7.5,1.4,0.00,12.46, ,0.70,0.41,,,
PR_001,7.5,1.5,0.00,11.67, ,0.75,0.44,,,
PR_001,7.5,1.6,0.00,10.98, ,0.80,0.47,,,
PR_001,7.5,1.7,0.00,10.38, ,0.80,0.55,,,
PR_001,7.5,1.8,0.00,9.84, ,0.80,0.63,,,
PR_001,7.5,1.9,0.00,9.36, ,0.80,0.71,,,
PR_001,7.5,2.0,0.00,8.93, ,0.80,0.79,,,
PR_001,7.5,2.1,0.00,8.55, ,0.80,0.87,,,
PR_001,7.5,2.2,0.00,8.20, ,0.80,0.95,,,
PR_001,7.5,2.3,0.00,7.88, ,0.80,1.03,,,
PR_001,7.5,2.4,0.00,7.60, ,0.80,1.10,,,
PR_001,7.5,2.5,0.00,7.33, ,0.80,1.18,,,
PR_001,7.5,2.6,0.00,7.09, ,0.80,1.26,,,
PR_001,7.5,2.7,0.00,6.87, ,0.80,1.34,,,
PR_001,7.5,2.8,0.00,6.66, ,0.80,1.42,,,
PR_001,7.5,2.9,0.00,6.48, ,0.80,1.50,,,
PR_001,7.5,3.0,0.00,6.30, ,0.80,1.58,,,
PR_001,7.5,3.1,0.00,6.14, ,0.80,1.66,,,
PR_001,8,0.8,0.00,24.40, ,0.40,0.23,,,
PR_001,8,0.9,0.00,21.73, ,0.45,0.26,,,
PR_001,8,1.0,0.00,19.60, ,0.50,0.29,,,
PR_001,8,1.1,0.00,17.86, ,0.55,0.32,,,
PR_001,8,1.2,0.00,16.41, ,0.60,0.35,,,
PR_001,8,1.3,0.00,15.18, ,0.65,0.38,,,
PR_001,8,1.4,0.00,14.14, ,0.70,0.41,,,
PR_001,8,1.5,0.00,13.24, ,0.75,0.44,,,
PR_001,8,1.6,0.00,12.45, ,0.80,0.47,,,
PR_001,8,1.7,0.00,11.76, ,0.85,0.50,,,
PR_001,8,1.8,0.00,11.14, ,0.90,0.53,,,
PR_001,8,1.9,0.00,10.60, ,0.90,0.61,,,
PR_001,8,2.0,0.00,10.11, ,0.90,0.69,,,
PR_001,8,2.1,0.00,9.67, ,0.90,0.77,,,
PR_001,8,2.2,0.00,9.27, ,0.90,0.85,,,
PR_001,8,2.3,0.00,8.91, ,0.90,0.93,,,
PR_001,8,2.4,0.00,8.57, ,0.90,1.00,,,
PR_001,8,2.5,0.00,8.27, ,0.90,1.08,,,
PR_001,8,2.6,0.00,7.99, ,0.90,1.16,,,
PR_001,8,2.7,0.00,7.74, ,0.90,1.24,,,
PR_001,8,2.8,0.00,7.50, ,0.90,1.32,,,
PR_001,8,2.9,0.00,7.29, ,0.90,1.40,,,
PR_001,8,3.0,0.00,7.08, ,0.90,1.48,,,
PR_001,8,3.1,0.00,6.89, ,0.90,1.56,,,
PR_001,8.5,0.8,0.00,27.53, ,0.40,0.23,,,
PR_001,8.5,0.9,0.00,24.51, ,0.45,0.26,,,
PR_001,8.5,1.0,0.00,22.10, ,0.50,0.29,,,
PR_001,8.5,1.1,0.00,20.13, ,0.55,0.32,,,
PR_001,8.5,1.2,0.00,18.49, ,0.60,0.35,,,
PR_001,8.5,1.3,0.00,17.11, ,0.65,0.38,,,
PR_001,8.5,1.4,0.00,15.93, ,0.70,0.41,,,
PR_001,8.5,1.5,0.00,14.90, ,0.75,0.44,,,
PR_001,8.5,1.6,0.00,14.01, ,0.80,0.47,,,
PR_001,8.5,1.7,0.00,13.23, ,0.85,0.50,,,
PR_001,8.5,1.8,0.00,12.53, ,0.90,0.53,,,
PR_001,8.5,1.9,0.00,11.91, ,0.90,0.61,,,
PR_001,8.5,2.0,0.00,11.36, ,0.90,0.69,,,
PR_001,8.5,2.1,0.00,10.86, ,0.90,0.77,,,
PR_001,8.5,2.2,0.00,10.40, ,0.90,0.85,,,
PR_001,8.5,2.3,0.00,9.99, ,0.90,0.93,,,
PR_001,8.5,2.4,0.00,9.62, ,0.90,1.00,,,
PR_001,8.5,2.5,0.00,9.27, ,0.90,1.08,,,
PR_001,8.5,2.6,0.00,8.96, ,0.90,1.16,,,
PR_001,8.5,2.7,0.00,8.66, ,0.90,1.24,,,
PR_001,8.5,2.8,0.00,8.40, ,0.90,1.32,,,
PR_001,8.5,2.9,0.00,8.15, ,0.90,1.40,,,
PR_001,8.5,3.0,0.00,7.92, ,0.90,1.48,,,
PR_001,8.5,3.1,0.00,7.70, ,0.90,1.56,,,
PR_001,9,0.8,0.00,30.84, ,0.40,0.23,,,
PR_001,9,0.9,0.00,27.46, ,0.45,0.26,,,
PR_001,9,1.0,0.00,24.75, ,0.50,0.29,,,
PR_001,9,1.1,0.00,22.54, ,0.55,0.32,,,
PR_001,9,1.2,0.00,20.70, ,0.60,0.35,,,
PR_001,9,1.3,0.00,19.15, ,0.65,0.38,,,
PR_001,9,1.4,0.00,17.82, ,0.70,0.41,,,
PR_001,9,1.5,0.00,16.67, ,0.75,0.44,,,
PR_001,9,1.6,0.00,15.67, ,0.80,0.47,,,
PR_001,9,1.7,0.00,14.79, ,0.85,0.50,,,
PR_001,9,1.8,0.00,14.01, ,0.90,0.53,,,
PR_001,9,1.9,0.00,13.31, ,0.95,0.56,,,
PR_001,9,2.0,0.00,12.68, ,1.00,0.59,,,
PR_001,9,2.1,0.00,12.12, ,1.00,0.67,,,
PR_001,9,2.2,0.00,11.61, ,1.00,0.75,,,
PR_001,9,2.3,0.00,11.15, ,1.00,0.83,,,
PR_001,9,2.4,0.00,10.72, ,1.00,0.90,,,
PR_001,9,2.5,0.00,10.33, ,1.00,0.98,,,
PR_001,9,2.6,0.00,9.98, ,1.00,1.06,,,
PR_001,9,2.7,0.00,9.65, ,1.00,1.14,,,
PR_001,9,2.8,0.00,9.34, ,1.00,1.22,,,
PR_001,9,2.9,0.00,9.06, ,1.00,1.30,,,
PR_001,9,3.0,0.00,8.80, ,1.00,1.38,,,
PR_001,9,3.1,0.00,8.56, ,1.00,1.46,,,
PR_001,9.5,0.8,0.00,34.35, ,0.40,0.23,,,
PR_001,9.5,0.9,0.00,30.57, ,0.45,0.26,,,
PR_001,9.5,1.0,0.00,27.55, ,0.50,0.29,,,
PR_001,9.5,1.1,0.00,25.09, ,0.55,0.32,,,
PR_001,9.5,1.2,0.00,23.04, ,0.60,0.35,,,
PR_001,9.5,1.3,0.00,21.30, ,0.65,0.38,,,
PR_001,9.5,1.4,0.00,19.82, ,0.70,0.41,,,
PR_001,9.5,1.5,0.00,18.54, ,0.75,0.44,,,
PR_001,9.5,1.6,0.00,17.42, ,0.80,0.47,,,
PR_001,9.5,1.7,0.00,16.44, ,0.85,0.50,,,
PR_001,9.5,1.8,0.00,15.56, ,0.90,0.53,,,
PR_001,9.5,1.9,0.00,14.78, ,0.95,0.56,,,
PR_001,9.5,2.0,0.00,14.09, ,1.00,0.59,,,
PR_001,9.5,2.1,0.00,13.45, ,1.00,0.67,,,
PR_001,9.5,2.2,0.00,12.88, ,1.00,0.75,,,
PR_001,9.5,2.3,0.00,12.36, ,1.00,0.83,,,
PR_001,9.5,2.4,0.00,11.89, ,1.00,0.90,,,
PR_001,9.5,2.5,0.00,11.45, ,1.00,0.98,,,
PR_001,9.5,2.6,0.00,11.05, ,1.00,1.06,,,
PR_001,9.5,2.7,0.00,10.68, ,1.00,1.14,,,
PR_001,9.5,2.8,0.00,10.34, ,1.00,1.22,,,
PR_001,9.5,2.9,0.00,10.03, ,1.00,1.30,,,
PR_001,9.5,3.0,0.00,9.73, ,1.00,1.38,,,
PR_001,9.5,3.1,0.00,9.46, ,1.00,1.46,,,
PR_001,10,0.8,0.00,38.04, ,0.40,0.23,,,
PR_001,10,0.9,0.00,33.85, ,0.45,0.26,,,
PR_001,10,1.0,0.00,30.51, ,0.50,0.29,,,
PR_001,10,1.1,0.00,27.77, ,0.55,0.32,,,
PR_001,10,1.2,0.00,25.50, ,0.60,0.35,,,
PR_001,10,1.3,0.00,23.58, ,0.65,0.38,,,
PR_001,10,1.4,0.00,21.93, ,0.70,0.41,,,
PR_001,10,1.5,0.00,20.51, ,0.75,0.44,,,
PR_001,10,1.6,0.00,19.27, ,0.80,0.47,,,
PR_001,10,1.7,0.00,18.17, ,0.85,0.50,,,
PR_001,10,1.8,0.00,17.20, ,0.90,0.53,,,
PR_001,10,1.9,0.00,16.34, ,0.95,0.56,,,
PR_001,10,2.0,0.00,15.56, ,1.00,0.59,,,
PR_001,10,2.1,0.00,14.86, ,1.05,0.62,,,
PR_001,10,2.2,0.00,14.23, ,1.10,0.65,,,
PR_001,10,2.3,0.00,13.65, ,1.10,0.73,,,
PR_001,10,2.4,0.00,13.12, ,1.10,0.80,,,
